Time (ps),fter lsq fit to Backbone
681.6800537,0.3754839
682.6800537,0.3756605
683.6800537,0.3814027
684.9200439,0.3848406
685.9200439,0.3865278
686.9200439,0.3769101
687.9200439,0.3801339
688.9200439,0.3699664
689.9200439,0.3660593
690.9200439,0.3738561
691.9200439,0.3631020
693.0800171,0.3755481
694.0800171,0.3824444
695.0800171,0.3810574
696.0800171,0.3765553
697.0800171,0.3863181
698.0800171,0.3993622
699.0800171,0.3820500
700.0800171,0.3828919
701.2000122,0.3774088
702.2000122,0.3621509
703.2000122,0.4010301
704.2000122,0.3798947
705.2000122,0.3790188
706.2000122,0.3732690
707.2000122,0.3816435
708.2000122,0.3839044
709.2000122,0.3864848
710.1100464,0.3852408
711.1100464,0.3741440
712.1100464,0.3789501
713.1100464,0.3961140
714.1100464,0.4021476
715.1100464,0.3816876
716.1100464,0.3775201
717.1100464,0.3949990
718.0900269,0.3970954
719.0900269,0.3965524
720.0900269,0.3983418
721.0900269,0.3875452
722.0900269,0.3948847
723.0900269,0.4094136
724.0900269,0.4023606
725.0900269,0.4102976
726.0900269,0.4192808
727.0800171,0.4208120
728.0800171,0.4198290
729.0800171,0.4097003
730.0800171,0.4002833
731.0800171,0.3968061
732.0800171,0.3941700
733.0800171,0.3898607
734.0800171,0.3906302
735.0800171,0.4084293
735.6100464,0.3909202
736.6100464,0.4133151
737.6100464,0.4210710
738.6100464,0.4019440
739.6100464,0.4055590
740.6100464,0.4018172
741.6100464,0.4039036
742.6100464,0.3940839
743.7900391,0.3953562
744.7900391,0.3983032
745.7900391,0.4053170
746.7900391,0.4044123
747.7900391,0.4054677
748.7900391,0.3968459
749.7900391,0.3938536
750.7900391,0.4050747
751.7900391,0.4171315
752.4600220,0.3944896
753.4600220,0.3965628
754.4600220,0.3950531
755.4600220,0.4052252
756.4600220,0.4070400
757.4600220,0.4140129
758.4600220,0.4216293
759.4600220,0.3973758
760.6300659,0.4405948
761.6300659,0.4179336
762.6300659,0.3969132
763.6300659,0.4287640
764.6300659,0.4115868
765.6300659,0.4205360
766.6300659,0.4216325
767.6300659,0.4328885
768.6300659,0.4286484
769.2600098,0.4255213
770.2600098,0.4138493
771.2600098,0.4451768
772.2600098,0.4408709
773.2600098,0.4321569
774.2600098,0.4354326
775.2600098,0.4317479
776.2600098,0.4365126
777.2600098,0.4302604
777.8700562,0.4356738
778.8700562,0.4457878
779.8700562,0.4406586
780.8700562,0.4282505
781.8700562,0.4519315
782.8700562,0.4328871
783.8700562,0.4434999
784.8700562,0.4200751
785.8700562,0.4369755
786.5700073,0.4250103
787.5700073,0.3954877
788.5700073,0.4265616
789.5700073,0.4243286
790.5700073,0.4326408
791.5700073,0.4258146
792.5700073,0.4399329
793.5700073,0.4448448
794.5700073,0.4354751
795.1200562,0.4387941
796.1200562,0.4384210
797.1200562,0.4358297
798.1200562,0.4383739
799.1200562,0.4244597
800.1200562,0.4424604
801.1200562,0.4262277
802.1200562,0.4272369
803.1200562,0.4238136
803.7800293,0.4335832
804.7800293,0.4239264
805.7800293,0.4270361
806.7800293,0.4554760
807.7800293,0.4497819
808.7800293,0.4202050
809.7800293,0.4468075
810.7800293,0.4512863
811.7800293,0.4339837
812.3800659,0.4315281
813.3800659,0.4317000
814.3800659,0.4118509
815.3800659,0.4322902
816.3800659,0.4190002
817.3800659,0.4458047
818.3800659,0.4456872
819.3800659,0.4342473
820.3800659,0.4334522
821.4300537,0.4228079
822.4300537,0.4320843
823.4300537,0.4401599
824.4300537,0.4410209
825.4300537,0.4303385
826.4300537,0.4174863
827.4300537,0.4139226
828.4300537,0.4268137
829.4300537,0.4359057
830.3000488,0.4278912
831.3000488,0.4397750
832.3000488,0.4453984
833.3000488,0.4463747
834.3000488,0.4474615
835.3000488,0.4414591
836.3000488,0.4239944
837.3000488,0.4242104
838.3000488,0.4362989
838.8400269,0.4160756
839.8400269,0.4184954
840.8400269,0.4077056
841.8400269,0.4208467
842.8400269,0.4265371
843.8400269,0.4461961
844.8400269,0.4388982
845.8400269,0.4236860
846.8400269,0.4157726
847.8400269,0.4268747
848.8400269,0.4237891
849.8400269,0.4122038
850.8400269,0.4206810
851.8400269,0.4204941
852.8400269,0.4258155
853.8400269,0.4379343
854.8400269,0.4372848
855.8400269,0.4253596
856.5000610,0.4514558
857.5000610,0.4325373
858.5000610,0.4341328
859.5000610,0.4323680
860.5000610,0.4563662
861.5000610,0.4457123
862.5000610,0.4502582
863.5000610,0.4522676
864.9000244,0.4686390
865.9000244,0.4794780
866.9000244,0.4730684
867.9000244,0.4608997
868.9000244,0.4733326
869.9000244,0.4586915
870.9000244,0.4542773
871.9000244,0.4558924
873.2300415,0.4432401
874.2300415,0.4514411
875.2300415,0.4442326
876.2300415,0.4617505
877.2300415,0.4359749
878.2300415,0.4454914
879.2300415,0.4517280
880.2300415,0.4766836
881.2300415,0.4703001
882.1300659,0.4781170
883.1300659,0.4712789
884.1300659,0.4733046
885.1300659,0.4715261
886.1300659,0.4790808
887.1300659,0.4875410
888.1300659,0.4852323
889.1300659,0.4848543
890.1300659,0.4942753
890.7800293,0.4876835
891.7800293,0.4767056
892.7800293,0.4704707
893.7800293,0.4755057
894.7800293,0.4919233
895.7800293,0.4688605
896.7800293,0.4656172
897.7800293,0.4784690
898.7200317,0.4884424
899.7200317,0.4743322
900.7200317,0.4825954
901.7200317,0.4782971
902.7200317,0.4770636
903.7200317,0.4838364
904.7200317,0.4675023
905.7200317,0.4975449
906.8000488,0.4839123
907.8000488,0.4681519
908.8000488,0.4958846
909.8000488,0.4783646
910.8000488,0.4598746
911.8000488,0.4529766
912.8000488,0.4940790
913.8000488,0.4840339
914.8000488,0.4706999
915.8800659,0.4741150
916.8800659,0.4804818
917.8800659,0.4770812
918.8800659,0.4743055
919.8800659,0.5091094
920.8800659,0.4952841
921.8800659,0.5127211
922.8800659,0.4816583
923.6100464,0.4884911
924.6100464,0.4992606
925.6100464,0.4966701
926.6100464,0.4896787
927.6100464,0.5000783
928.6100464,0.4949288
929.6100464,0.4843116
930.6100464,0.4796089
931.6100464,0.4773795
932.3700562,0.4673286
933.3700562,0.4602292
934.3700562,0.4546666
935.3700562,0.4799443
936.3700562,0.4675524
937.3700562,0.4624534
938.3700562,0.4622792
939.3700562,0.4702643
940.7500610,0.4258157
941.7500610,0.4551313
942.7500610,0.4625543
943.7500610,0.4727049
944.7500610,0.4658418
945.7500610,0.4801146
946.7500610,0.4869064
947.7500610,0.4679095
948.8500366,0.5168251
949.8500366,0.5034061
950.8500366,0.5167724
951.8500366,0.4850461
952.8500366,0.4995149
953.8500366,0.4916445
954.8500366,0.4724509
956.3300171,0.4817554
957.3300171,0.4737689
958.3300171,0.4772668
959.3300171,0.4805808
960.3300171,0.4927816
961.3300171,0.5019444
962.3300171,0.5143225
963.3300171,0.5029271
964.3300171,0.5136985
964.9400635,0.5041328
965.9400635,0.5030780
966.9400635,0.4843825
967.9400635,0.4905012
968.9400635,0.5146994
969.9400635,0.5107006
970.9400635,0.4794514
971.9400635,0.5016151
972.9400635,0.4951783
973.9100342,0.5098563
974.9100342,0.5278470
975.9100342,0.5047536
976.9100342,0.5149283
977.9100342,0.4852928
978.9100342,0.5000551
979.9100342,0.5022486
980.9100342,0.4901820
982.3400269,0.4930269
983.3400269,0.4993794
984.3400269,0.5042987
985.3400269,0.4981343
986.3400269,0.4911736
987.3400269,0.4701658
988.3400269,0.4936821
989.3400269,0.4908167
990.8400269,0.4996288
991.8400269,0.5364955
992.8400269,0.5125149
993.8400269,0.5164461
994.8400269,0.5452757
995.8400269,0.5329493
